,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
235,lasa,IT,,,,,,,
236,itarema,BR,,,,,,,
237,ambad,IN,,,,,,,
238,zhigansk,RU,,,,,,,
239,tuktoyaktuk,CA,,,,,,,
240,price,US,,,,,,,
241,raudeberg,NO,,,,,,,
242,leningradskiy,RU,,,,,,,
243,ust-omchug,RU,,,,,,,
244,stettler,CA,,,,,,,
245,joshimath,IN,,,,,,,
246,whitianga,NZ,,,,,,,
247,udachnyy,RU,,,,,,,
248,kitob,UZ,,,,,,,
249,bengkulu,ID,,,,,,,
250,birao,CF,,,,,,,
251,tsihombe,,,,,,,,
252,hangu,CN,,,,,,,
253,harindanga,IN,,,,,,,
254,amderma,,,,,,,,
255,dudinka,RU,,,,,,,
256,constitucion,CL,,,,,,,
257,karachi,PK,,,,,,,
258,hofn,IS,,,,,,,
259,chapais,CA,,,,,,,
260,tingrela,,,,,,,,
261,palabuhanratu,,,,,,,,
262,lagoa,PT,,,,,,,
263,husavik,IS,,,,,,,
264,surt,LY,,,,,,,
265,bambous virieux,MU,,,,,,,
266,airai,TL,,,,,,,
267,kupang,ID,,,,,,,
268,takoradi,GH,,,,,,,
269,katima mulilo,NA,,,,,,,
270,provideniya,RU,,,,,,,
271,chabahar,IR,,,,,,,
272,holland,US,,,,,,,
273,sur,OM,,,,,,,
274,orsha,BY,,,,,,,
275,namibe,AO,,,,,,,
276,kathmandu,NP,,,,,,,
277,souillac,MU,,,,,,,
278,puerto cabezas,NI,,,,,,,
279,korem,ET,,,,,,,
280,sahaspur,IN,,,,,,,
281,hukuntsi,BW,,,,,,,
282,darhan,MN,,,,,,,
283,ayolas,PY,,,,,,,
284,vastervik,,,,,,,,
285,longyearbyen,SJ,,,,,,,
286,upernavik,GL,,,,,,,
287,roald,NO,,,,,,,
288,lorengau,PG,,,,,,,
289,krasnoselkup,RU,,,,,,,
290,ji-parana,,,,,,,,
291,potchefstroom,ZA,,,,,,,
292,nordby,DK,,,,,,,
293,mancio lima,BR,,,,,,,
294,vitimskiy,,,,,,,,
295,namatanai,PG,,,,,,,
296,pemangkat,ID,,,,,,,
297,berezovyy,RU,,,,,,,
298,kansanshi,ZM,,,,,,,
299,komsomolskiy,UZ,,,,,,,
300,pisco,PE,,,,,,,
301,shingu,JP,,,,,,,
302,dicabisagan,PH,,,,,,,
303,alofi,NU,,,,,,,
304,shimoda,JP,,,,,,,
305,dawei,MM,,,,,,,
306,killybegs,IE,,,,,,,
307,umm kaddadah,SD,,,,,,,
308,mundo nuevo,MX,,,,,,,
309,kharan,PK,,,,,,,
310,shymkent,KZ,,,,,,,
311,lebu,CL,,,,,,,
312,burica,,,,,,,,
313,satis,RU,,,,,,,
314,paiho,,,,,,,,
315,grand-santi,GF,,,,,,,
316,northam,GB,,,,,,,
317,verkhnyaya inta,RU,,,,,,,
318,maunabo,PR,,,,,,,
319,coquimbo,CL,,,,,,,
320,banikoara,BJ,,,,,,,
321,alice springs,AU,,,,,,,
322,chokurdakh,RU,,,,,,,
323,tezu,IN,,,,,,,
324,guozhen,CN,,,,,,,
325,taltal,CL,,,,,,,
326,mys shmidta,,,,,,,,
327,yeniseysk,RU,,,,,,,
328,pemba,MZ,,,,,,,
329,port lincoln,AU,,,,,,,
330,steamboat springs,US,,,,,,,
331,coihaique,CL,,,,,,,
332,pringsewu,ID,,,,,,,
333,kasongo-lunda,CD,,,,,,,
334,kjollefjord,NO,,,,,,,
335,buluang,PH,,,,,,,
336,chuy,UY,,,,,,,
337,gravdal,NO,,,,,,,
338,imbituba,BR,,,,,,,
339,xining,CN,,,,,,,
340,ledyard,US,,,,,,,
341,odweyne,SO,,,,,,,
342,talnakh,RU,,,,,,,
343,grindavik,IS,,,,,,,
344,eyl,SO,,,,,,,
345,obo,CF,,,,,,,
346,gayeri,BF,,,,,,,
347,artyom,AZ,,,,,,,
348,gat,IL,,,,,,,
349,kahului,US,,,,,,,
350,nara,JP,,,,,,,
351,nguiu,,,,,,,,
352,ponta do sol,PT,,,,,,,
353,umm lajj,SA,,,,,,,
354,sentyabrskiy,,,,,,,,
355,kerki,,,,,,,,
356,brakpan,ZA,,,,,,,
357,marsa matruh,EG,,,,,,,
358,diego de almagro,CL,,,,,,,
359,muravlenko,RU,,,,,,,
360,beira,MZ,,,,,,,
361,dingle,PH,,,,,,,
362,kangaatsiaq,GL,,,,,,,
363,aneby,SE,,,,,,,
364,khandagayty,RU,,,,,,,
365,saint-francois,FR,,,,,,,
366,zhanaozen,KZ,,,,,,,
367,sabang,ID,,,,,,,
368,pfaffikon,CH,,,,,,,
369,valentin gomez farias,MX,,,,,,,
370,kruisfontein,ZA,,,,,,,
371,vardo,NO,,,,,,,
372,comacchio,IT,,,,,,,
373,svetlogorsk,BY,,,,,,,
374,ardakan,IR,,,,,,,
375,nanakuli,US,,,,,,,
376,puerto ayacucho,VE,,,,,,,
377,evensk,RU,,,,,,,
378,saint george,US,,,,,,,
379,karaul,,,,,,,,
380,ondangwa,NA,,,,,,,
381,vaitupu,,,,,,,,
382,sinop,TR,,,,,,,
383,kattivakkam,IN,,,,,,,
384,bandarbeyla,SO,,,,,,,
385,oltu,TR,,,,,,,
386,margate,GB,,,,,,,
387,sinazongwe,ZM,,,,,,,
388,chapada dos guimaraes,BR,,,,,,,
389,misratah,LY,,,,,,,
390,la ronge,CA,,,,,,,
391,altonia,,,,,,,,
392,isalnita,RO,,,,,,,
393,camacha,PT,,,,,,,
394,mandalgovi,MN,,,,,,,
395,itacarambi,BR,,,,,,,
396,port elizabeth,ZA,,,,,,,
397,tuzha,RU,,,,,,,
398,stawell,AU,,,,,,,
399,mayumba,GA,,,,,,,
400,davidson,US,,,,,,,
401,bargal,,,,,,,,
402,huarmey,PE,,,,,,,
403,rawson,AR,,,,,,,
404,waitati,NZ,,,,,,,
405,hengyang,CN,,,,,,,
406,wuda,CN,,,,,,,
407,bhuj,IN,,,,,,,
408,sokoni,TZ,,,,,,,
409,tingi,TZ,,,,,,,
410,kinkala,CG,,,,,,,
411,lufilufi,WS,,,,,,,
412,pokhara,NP,,,,,,,
413,ebeltoft,DK,,,,,,,
414,atsiki,,,,,,,,
415,arrecife,ES,,,,,,,
416,taunggyi,MM,,,,,,,
417,naifaru,MV,,,,,,,
418,san jeronimo,PE,,,,,,,
419,hadishahr,AZ,,,,,,,
420,karratha,AU,,,,,,,
421,gizo,SB,,,,,,,
422,corn island,NI,,,,,,,
423,asilah,MA,,,,,,,
424,warmbad,NA,,,,,,,
425,diplo,PK,,,,,,,
426,nasice,HR,,,,,,,
427,sann,PK,,,,,,,
428,lucea,JM,,,,,,,
429,vila velha,BR,,,,,,,
430,kaputa,ZM,,,,,,,
431,tucuman,AR,,,,,,,
432,halalo,,,,,,,,
433,cortez,US,,,,,,,
434,erhlin,,,,,,,,
435,tiarei,PF,,,,,,,
436,port-cartier,CA,,,,,,,
437,virden,US,,,,,,,
438,shushenskoye,RU,,,,,,,
439,shipitsyno,RU,,,,,,,
440,bathsheba,BB,,,,,,,
441,ishigaki,JP,,,,,,,
442,oranjemund,NA,,,,,,,
443,amalapuram,IN,,,,,,,
444,xingcheng,CN,,,,,,,
445,flin flon,CA,,,,,,,
446,puerto escondido,MX,,,,,,,
447,sibolga,ID,,,,,,,
448,linares,CL,,,,,,,
449,guerrero negro,MX,,,,,,,
450,dolores,AR,,,,,,,
451,domoni,KM,,,,,,,
452,adrar,MR,,,,,,,
453,malinyi,TZ,,,,,,,
454,florin,US,,,,,,,
455,samusu,,,,,,,,
456,ipora,BR,,,,,,,
457,nuristan,AF,,,,,,,
458,morshyn,UA,,,,,,,
459,dobryanka,RU,,,,,,,
460,hobyo,SO,,,,,,,
461,avera,US,,,,,,,
462,londrina,BR,,,,,,,
463,ahipara,NZ,,,,,,,
464,auki,SB,,,,,,,
465,kigorobya,UG,,,,,,,
466,vostok,RU,,,,,,,
467,edenderry,IE,,,,,,,
468,beian,NO,,,,,,,
469,koslan,RU,,,,,,,
470,labuhan,ID,,,,,,,
471,luba,GQ,,,,,,,
472,sisimiut,GL,,,,,,,
473,kichera,RU,,,,,,,
474,norman wells,CA,,,,,,,
475,marzuq,YE,,,,,,,
476,pitimbu,BR,,,,,,,
477,nishihara,JP,,,,,,,
478,bad krozingen,DE,,,,,,,
479,prince rupert,CA,,,,,,,
480,henties bay,NA,,,,,,,
481,cururupu,BR,,,,,,,
482,san juan,AR,,,,,,,
483,maniitsoq,GL,,,,,,,
484,sagae,JP,,,,,,,
485,morgan city,US,,,,,,,
486,marcona,,,,,,,,
487,tual,ID,,,,,,,
488,te anau,NZ,,,,,,,
489,villaviciosa,ES,,,,,,,
490,vengurla,IN,,,,,,,
491,orebro,SE,,,,,,,
492,voh,NC,,,,,,,
493,nong phai,TH,,,,,,,
494,ocos,GT,,,,,,,
495,ibra,OM,,,,,,,
496,finca cincuenta y uno,,,,,,,,
497,yumen,CN,,,,,,,
498,san fernando,PH,,,,,,,
499,vuktyl,RU,,,,,,,
500,eureka,US,,,,,,,
501,plavsk,RU,,,,,,,
502,sechura,PE,,,,,,,
503,port hardy,CA,,,,,,,
504,necochea,AR,,,,,,,
505,san rafael,AR,,,,,,,
506,benghazi,LY,,,,,,,
507,hasaki,JP,,,,,,,
508,whitehorse,CA,,,,,,,
509,jieshi,CN,,,,,,,
510,dubbo,AU,,,,,,,
511,calais,FR,,,,,,,
512,south lake tahoe,US,,,,,,,
513,prince albert,CA,,,,,,,
514,chapleau,CA,,,,,,,
515,wolmaranstad,,,,,,,,
516,saint-augustin,CA,,,,,,,
517,naze,JP,,,,,,,
518,sao jose da coroa grande,BR,,,,,,,
519,mildura,AU,,,,,,,
520,kargopol,RU,,,,,,,
521,longlac,,,,,,,,
522,laguna,US,,,,,,,
523,kawalu,ID,,,,,,,
524,nantucket,US,,,,,,,
525,dunmore town,BS,,,,,,,
526,vestmanna,FO,,,,,,,
527,nemuro,JP,,,,,,,
528,erzurum,TR,,,,,,,
529,chikwawa,MW,,,,,,,
530,chernyshevskiy,RU,,,,,,,
531,alekseyevka,RU,,,,,,,
532,roebourne,AU,,,,,,,
533,zulpich,DE,,,,,,,
534,killarney,IE,,,,,,,
535,geresk,,,,,,,,
536,paamiut,GL,,,,,,,
537,maumere,ID,,,,,,,
538,dwarka,IN,,,,,,,
539,ust-koksa,RU,,,,,,,
540,nortelandia,BR,,,,,,,
541,dalaba,GN,,,,,,,
542,qasigiannguit,GL,,,,,,,
543,wasilla,US,,,,,,,
544,porto novo,BJ,,,,,,,
545,bajo baudo,,,,,,,,
546,port shepstone,ZA,,,,,,,
547,vilyuysk,RU,,,,,,,
548,tamiahua,MX,,,,,,,
549,yura,PE,,,,,,,
550,tenenkou,ML,,,,,,,
551,kerema,PG,,,,,,,
552,praia,CV,,,,,,,
553,sorland,NO,,,,,,,
554,chateauroux,FR,,,,,,,
555,sesvete,HR,,,,,,,
556,jennings,US,,,,,,,
557,cairns,AU,,,,,,,
558,opuwo,NA,,,,,,,
559,velsk,RU,,,,,,,
560,kirakira,SB,,,,,,,
561,korla,CN,,,,,,,
562,viligili,,,,,,,,
563,la rioja,ES,,,,,,,
564,trairi,BR,,,,,,,
565,port blair,IN,,,,,,,
566,dunhua,CN,,,,,,,
567,jalu,LY,,,,,,,
568,zaliznychne,UA,,,,,,,
569,genhe,CN,,,,,,,
570,tautira,PF,,,,,,,
571,preobrazheniye,RU,,,,,,,
572,ormara,PK,,,,,,,
573,vinderup,DK,,,,,,,
574,letka,RU,,,,,,,
575,dandong,CN,,,,,,,
576,suicheng,CN,,,,,,,
577,nouadhibou,MR,,,,,,,
578,takapau,NZ,,,,,,,
579,safwah,,,,,,,,
580,ayr,GB,,,,,,,
581,cockburn town,TC,,,,,,,
582,pochutla,MX,,,,,,,
583,xian,CN,,,,,,,
584,bolobo,CD,,,,,,,
585,jabinyanah,TN,,,,,,,
586,poum,NC,,,,,,,
587,richards bay,ZA,,,,,,,
588,chara,RU,,,,,,,
589,padang,ID,,,,,,,
590,esfarayen,IR,,,,,,,
591,yorkton,CA,,,,,,,
592,letlhakeng,BW,,,,,,,
593,campbell river,CA,,,,,,,
594,palmer,US,,,,,,,
595,north branch,US,,,,,,,
596,colares,PT,,,,,,,
